Facility_ID,Hospital_ID,Hospital_Type,Hospital_Type_Code,Hospital_Name,Address,Hospital_Contact,State_Code,District_Code,Speciality_Code,Emplaned_Date,Hospital_Latitude,Hospital_Longitude,SchemeCode
HOSP5P136601,5136601,Hospital,P,SUSHRUT POLYCLINIC AND TRAUMA CENTRE,"45, New Haridwar Colony,",7830000623,5,50,"100005,100015",2022-06-27 16:44:09,29.93236596030451,78.13456918172778,PMJAY
HOSP5P148315,5148315,Hospital,P,PANACEA HOSPITAL,"197, Haridwar Road, Near Rispana Bridge, Dehradun,",8630070909,5,49,,2026-05-19 12:59:46,30.296302,78.055754,PMJAY
HOSP5P149149,5149149,Hospital,P,VEDANTA HOSPITAL,"RAMNAGAR ROAD,NEAR SBI MAIN BRANCH",7227060500,5,56,"100004,100005,100006,100010,100012,100017,100026",2023-08-14 16:14:15,29.221918,78.966330,PMJAY
HOSP5P156088,5156088,Hospital,P,Aryan Multi Speciality Hospital,"Ground Floor, Gurudwara Langar Hall, Doiwala, ,",9410742022,5,49,"100004,100005,100006,100010,100012,100015,100017,100026",2023-04-18 18:06:20,30.176814,78.1287820000001,PMJAY
HOSP5P166338,5166338,Hospital,P,POWER LIFE CARE HOSPITAL,"SAHARANPUR ROAD NEAR BMW SHOWROOM MOHABBEWALA, DEHRADUN,",9897862441,5,49,"100005,100006,100015,100017,100023",2023-12-05 16:25:17,30.265483139363354,77.98361098862279,PMJAY
HOSP5P187298,5187298,Hospital,P,Ogeasvi Hospital,"Ladpur, Raipur Road, Dehradun,",8859101877,5,49,"100004,100005,100006,100026",2024-03-07 16:02:28,30.317337,78.080734,PMJAY
HOSP5P189020,5189020,Hospital,P,PRAKASHDEEP HOSPITAL,"Ekam Arkade,",9728103496,5,49,"100001,100005,100006,100012,100015,100020",2024-03-14 16:04:06,30.297947,78.005800,PMJAY
HOSP5P195154,5195154,Hospital,P,SK HOSPITAL,"JASPUR MOR KASHIPUR,",9927138436,5,56,,2024-03-15 15:03:05,29.210673,78.961793,PMJAY
HOSP5P201032,5201032,Hospital,P,ARIHANT ADVANCE SURGICAL AND FERTILITY CENTRE,"nagar palika parking, Main Badrinath Road,",7055705579,5,47,"100004,100005,100006,100026",2024-07-19 11:52:22,30.40448920213626,79.33080622250895,PMJAY
HOSP5P205234,5205234,Hospital,P,SAHAJEEVAN HOSPITAL,"Sahajeevan Hospital Bus Stand Gopeshwar Chamoli,",9456080408,5,47,"100004,100005,100006,100013,100015",2024-11-06 14:00:13,30.409977331971064,79.31666724903016,PMJAY
HOSP6P101712,6101712,Hospital,P,VIRK HOSPITAL,"VIRK HOSPITAL ,SECTOR 17 URBAN ESTATE KURUKSHETRA",9416035036,6,68,100012,2022-10-06 11:09:24,29.970002,76.837869,PMJAY
